Date	Opponent	Result	Score	Pitcher	IP	H	R	ER	BB	SO	P-S	BF
Tue, May 5	Brampton Royals	W	11-1	E Mulder #10	3	0	1	1	1	3	37-24	10
Tue, May 5	Brampton Royals	W	11-1	M Sturino #11	2	0	0	0	0	1	32-15	7
Wed, May 6	Mississauga North	T	5-5	N Cai #18	4	5	3	0	0	1	41-33	18
Wed, May 6	Mississauga North	T	5-5	D Reid #17	3	3	2	2	2	5	55-32	15
Mon, May 11	Oakville A's	L	3-5	E Swantee #37	3	6	5	5	1	2	53-33	16
Mon, May 11	Oakville A's	L	3-5	M Saunders #30	4	4	0	0	2	3	56-33	17
Wed, May 13	Brampton Royals	W	18-3	N Shah #14	2.1	2	2	2	1	2	37-19	11
Wed, May 13	Brampton Royals	W	18-3	S Rengel #23	1.2	2	1	1	0	3	27-20	8
Fri, May 15	Scarborough Stingers	W	5-3	N Cai #18	2.2	2	2	1	2	2	45-26	11
Fri, May 15	Scarborough Stingers	W	5-3	D Reid #17	2.1	1	1	0	1	4	42-28	9
Sat, May 16	Newmarket Hawks	W	9-1	J Olafson #33	1.2	0	1	0	2	2	34-19	8
Sat, May 16	Newmarket Hawks	W	9-1	E Swantee #37	1.1	2	0	0	1	2	26-16	7
Sat, May 16	Newmarket Hawks	W	9-1	S Rengel #23	2	0	0	0	0	3	25-17	6
Sat, May 16	WOBA AA Bulls	W	12-2	M Palha #27	4	4	2	2	2	7	83-52	20
Sat, May 16	WOBA AA Bulls	W	12-2	E Mulder #10	1	0	0	0	0	2	15-13	3
Sun, May 17	Scarborough Stingers	W	13-12	J Olafson #33	1	4	5	4	2	2	39-22	10
Sun, May 17	Scarborough Stingers	W	13-12	E Mulder #10	2	3	4	2	0	1	32-18	11
Sun, May 17	Scarborough Stingers	W	13-12	C Moran #8	1	1	2	0	1	0	22-10	6
Sun, May 17	Scarborough Stingers	W	13-12	D Reid #17	3	1	1	1	2	3	41-22	12
Sun, May 17	Mississauga North	L	3-8	N Cai #18	5	6	7	3	1	4	67-44	23
Sun, May 17	Mississauga North	L	3-8	E Swantee #37	1	2	1	1	0	0	13-11	5
Wed, May 20	Halton Hills Eagles	W	12-5	E Swantee #37	4	9	5	4	0	1	55-35	22
Wed, May 20	Halton Hills Eagles	W	12-5	M Saunders #30	3	2	0	0	0	2	40-25	11
Tue, May 26	Mississauga North	W	9-7	E Mulder #10	3	4	3	2	0	0	33-25	13
Tue, May 26	Mississauga North	W	9-7	D Reid #17	4	5	4	3	0	0	52-33	18
Thu, May 28	Burlington Bulls	W	18-1	E Swantee #37	2	2	1	1	1	2	27-15	8
Thu, May 28	Burlington Bulls	W	18-1	S Rengel #23	2	0	0	0	0	3	26-17	7
Fri, May 29	Milton Mets	W	12-6	N Cai #18	4	5	5	2	1	4	65-48	20
Fri, May 29	Milton Mets	W	12-6	M Palha #27	3	2	1	1	0	1	39-23	10
Wed, Jun 3	Halton Hills Eagles	W	11-7	J Olafson #33	3.2	5	4	3	0	3	56-36	17
Wed, Jun 3	Halton Hills Eagles	W	11-7	B Palmer #21	1.1	4	3	2	2	0	42-21	10
Wed, Jun 3	Halton Hills Eagles	W	11-7	N Cai #18	2	1	0	0	0	2	16-11	6
Fri, Jun 5	Stratford Nationals	W	6-1	E Mulder #10	2.1	3	0	0	1	2	45-27	10
Fri, Jun 5	Stratford Nationals	W	6-1	E Swantee #37	3.2	0	1	0	1	4	37-26	12
Sat, Jun 6	Etobicoke Rangers	W	8-3	M Palha #27	4	5	3	3	2	2	70-38	19
Sat, Jun 6	Etobicoke Rangers	W	8-3	M Saunders #30	3	0	0	0	0	3	29-20	9
Sat, Jun 6	Wranglers 12U	W	9-8	M Saunders #30	2.1	3	3	3	3	4	49-30	15
Sat, Jun 6	Wranglers 12U	W	9-8	N Shah #14	1.2	4	3	3	1	4	41-25	11
Sat, Jun 6	Wranglers 12U	W	9-8	J Olafson #33	1	0	2	0	2	1	31-15	6
Sun, Jun 7	Guelph Royals	W	8-5	N Cai #18	1.1	1	2	1	2	0	31-18	8
Sun, Jun 7	Guelph Royals	W	8-5	E Mulder #10	4.2	9	3	3	0	5	64-47	19
Sun, Jun 7	London Badgers	W	7-6	E Swantee #37	3	6	4	1	0	3	39-30	15
Sun, Jun 7	London Badgers	W	7-6	D Reid #17	4	5	2	2	0	4	51-37	19
